"Term_ID","Term_Label","Parent_ID","Parent_Label","geneclass"
"ARO:3005567","CARB-31","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3005157","PDC-41","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002600","AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein","ARO:3007419","aminoglycoside bifunctional resistance protein","bifunctional aminoglycoside"
"ARO:3008842","PDC-495","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006772","PDC-402","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3009004","PEN-A26","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3005992","OXA-789","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006811","PDC-443","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3008952","PDC-605","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006926","GRD33-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3005314","OXA-540","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005702","OXA-114b","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005039","PDC-55","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006482","PDC-102","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3008793","OXY-2-22","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3007929","ACT-166","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3001400","OXA-5","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005668","GOB-19","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3008074","ASU1-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3005718","OXA-114s","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3002997","LCR-1","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3008078","B3SU1-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3008075","AXC-6","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3003154","SHV-187","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008665","OXA-1255","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005384","KPC-56","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008237","KPC-107","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3009023","PEN-B1","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3009016","PEN-A38","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3009001","PEN-A23","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3005012","IDC-1","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3009015","PEN-A37","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3003614","OXA-458","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3002488","LRA-9","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3008998","PEN-A20","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3006892","ALG11-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3009013","PEN-A34","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008737","OXA-960","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3002689","Plasmid-encoded cat (pp-cat)","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"ARO:3005324","OXA-570","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006540","PDC-161","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006866","CRH-2","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3005657","CTX-M-234","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3009005","PEN-A27","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3006748","PDC-378","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3008602","OXA-1186","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005293","PDC-380","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006944","LUT-2","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008475","OXA-1057","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006090","OXA-902","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006264","ACT-69","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3005589","CARB-55","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3005932","OXA-727","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006474","FOX-16","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3001551","OXA-364","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3004737","ARL-4","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008973","PDC-626","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3005585","CARB-51","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008991","PEN-A13","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3006950","MAL-2","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3005697","GOB-49","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3005933","OXA-728","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006649","PDC-275","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006473","FOX-15","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3008877","PDC-530","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006761","PDC-391","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3008661","OXA-1251","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005693","GOB-44","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3008655","OXA-1245","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006529","PDC-151","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006219","VEB-24","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008603","OXA-1187","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006726","PDC-357","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3007199","PAM-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3005934","OXA-729","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006231","ACC-1d","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3008683","OXA-1273","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3008688","OXA-1278","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3008680","OXA-1270","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3008694","OXA-1284","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3007191","vanR gene in vanP cluster","ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"ARO:3003613","OXA-457","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3008455","OXA-1034","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3001456","OXA-151","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005310","PDC-313","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006095","OXA-908","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3003842","MUS-2","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3006030","OXA-833","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005671","GOB-22","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3005231","SHV-219","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3001041","TEM-176","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008739","OXA-962","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005846","OXA-625","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005061","AAC(3)-IVb","ARO:3000322","AAC(3)","aac"
"ARO:3009006","PEN-A28","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3009081","VEB-29","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3001951","CTX-M-91","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008700","OXA-1290","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3008691","OXA-1281","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005013","IDC-2","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3008595","OXA-1177","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005158","OXA-668","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3001998","CTX-M-140","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002240","CARB-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3005544","BlaB-30","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3006556","PDC-177","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3005583","CARB-49","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008178","FONA-8","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008470","OXA-1051","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3002184","MOX-4","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3008448","OXA-1027","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005514","VIM-66","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3008545","OXA-1127","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3009080","VEB-28","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3008730","OXA-953","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3004591","tet(55)","ARO:3000036","tetracycline inactivation enzyme","tet enzyme"
"ARO:3001763","OXA-308","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3008451","OXA-1030","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006910","CfiA18","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3002052","CMY-41","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3008573","OXA-1155","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3004648","AQU-3","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3006216","VEB-21","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3006094","OXA-907","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3008396","NDM-48","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3008439","OXA-1018","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006230","ACC-1c","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3005507","VIM-59","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3008742","OXA-965","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3008442","OXA-1021","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3009086","VEB-34","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3006508","PDC-131","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3003642","OXA-485","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006909","CfiA17","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3005875","OXA-660","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005497","VIM-49","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3009042","RSD1-1","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3005503","VIM-55","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3008692","OXA-1282","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3008523","OXA-1105","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
