"Term_ID","Term_Label","Parent_ID","Parent_Label","geneclass"
"ARO:3003016","dfrA20","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"ARO:3002576","AAC(6')-Ib3","ARO:3000345","AAC(6')","aac"
"ARO:3002718","QnrB4","ARO:3000419","quinolone resistance protein (qnr)","qnr"
"ARO:3001778","OXA-232","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3000842","EBR-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3002319","KPC-9","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002261","IND-5","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3003559","cepA","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002608","aadA8","ARO:3004275","ANT(3'')","ant"
"ARO:3001519","OXA-331","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3001543","OXA-356","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3001521","OXA-333","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3001523","OXA-335","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3001548","OXA-361","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"ARO:3006906","CfiA10","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"ARO:3001383","TEM-206","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002471","LEN-24","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002473","LEN-17","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3001120","SHV-65","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002478","LEN-15","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002437","OKP-B-4","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002246","CARB-7","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002252","CARB-14","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002422","OKP-A-5","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"ARO:3002045","CMY-34","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ARO:3002132","DHA-1","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
