"","ARO_Term_ID","Term_Label","Parent_ID","Parent_Label","gene_class","abbreviation"
"1754","ARO:3002184","MOX-4","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1755","ARO:3008448","OXA-1027","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1756","ARO:3005514","VIM-66","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1757","ARO:3008545","OXA-1127","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1758","ARO:3009080","VEB-28","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1759","ARO:3008730","OXA-953","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1760","ARO:3004591","tet(55)","ARO:3000036","tetracycline inactivation enzyme","tet enzyme","tet enzyme"
"1761","ARO:3001763","OXA-308","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1762","ARO:3008451","OXA-1030","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1763","ARO:3006910","CfiA18","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1764","ARO:3002052","CMY-41","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1765","ARO:3008573","OXA-1155","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1766","ARO:3004648","AQU-3","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1767","ARO:3006216","VEB-21","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1768","ARO:3006094","OXA-907","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1769","ARO:3008396","NDM-48","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1770","ARO:3008439","OXA-1018","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1771","ARO:3006230","ACC-1c","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1772","ARO:3005507","VIM-59","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1773","ARO:3008742","OXA-965","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1774","ARO:3008442","OXA-1021","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1775","ARO:3009086","VEB-34","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1776","ARO:3006508","PDC-131","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1777","ARO:3003642","OXA-485","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1778","ARO:3006909","CfiA17","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1779","ARO:3005875","OXA-660","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1780","ARO:3005497","VIM-49","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1781","ARO:3009042","RSD1-1","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1782","ARO:3005503","VIM-55","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1783","ARO:3008692","OXA-1282","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1784","ARO:3008523","OXA-1105","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1785","ARO:3006224","CepA-29","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1786","ARO:3004672","FosB5","ARO:3000342","fosfomycin inactivation enzyme","fos","fos"
"1787","ARO:3009098","CfiA28","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1788","ARO:3004803","GOB-11","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1789","ARO:3008519","OXA-1101","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
