"","ARO_Term_ID","Term_Label","Parent_ID","Parent_Label","gene_class","abbreviation"
"1534","ARO:3009009","PEN-A30","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1535","ARO:3006893","ALG6-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1536","ARO:3000851","THIN-B","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1537","ARO:3006973","PME-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1538","ARO:3008158","CTX-M-269","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1539","ARO:3006981","RSA2-1","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1540","ARO:3008871","PDC-524","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1541","ARO:3008815","OXY-6-7","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1542","ARO:3006918","CfiA27","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1543","ARO:3008070","AFM-3","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1544","ARO:3005824","OXA-603","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1545","ARO:3008993","PEN-A16","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1546","ARO:3008706","OXA-1296","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1547","ARO:3006187","KPC-58","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1548","ARO:3002299","VIM-29","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1549","ARO:3007823","VIM-86","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1550","ARO:3005500","VIM-52","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1551","ARO:3008988","PEN-A10","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1552","ARO:3008992","PEN-A15","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1553","ARO:3007374","PJM-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1554","ARO:3003720","SPG-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1555","ARO:3009022","PEN-A9","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1556","ARO:3007196","KPC-123","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1557","ARO:3006229","ACC-1b","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1558","ARO:3008474","OXA-1056","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1559","ARO:3006864","CRD3-1","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1560","ARO:3008738","OXA-961","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1561","ARO:3006525","PDC-148","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1562","ARO:3001768","OXA-118","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
